scenario,under_20,min_20_to_60,over_60,hours_1_to_4,hours_4_to_12,over_12_hours
micro_release_only,5,4,3,,,
micro_due_only,5,4,3,,,
micro_release_and_due,5,4,3,,,
micro_release_equals_due,5,4,3,,,
micro_no_constraints,5,4,3,,,
micro_anchored,5,4,3,,,
micro_anchor_collision,5,4,3,,,
micro_deep_frontier,5,4,3,,,
micro_new_frontier,5,4,3,,,
micro_priority_vs_deadline,5,4,3,,,
micro_completion_frees_capacity,5,4,3,,,
micro_unavoidable_overload,5,4,3,,,
realistic_normal_semester,5,4,3,2.0,1.0,1.0
realistic_deadline_heavy,5,4,3,2.0,1.0,1.0
realistic_project_heavy,5,4,3,2.0,1.0,1.0
realistic_overloaded_semester,5,4,3,2.0,1.0,1.0
stress_50_same_deadline,5,4,3,,,
stress_late_release_burst,5,4,3,,,
stress_dense_fortnight,5,4,3,,,
stress_sparse_quarter,5,4,3,,,
stress_priority_ties,5,4,3,,,
stress_many_anchors,5,4,3,,,
stress_deep_hierarchy,5,4,3,,,
stress_impossible_capacity,5,4,3,,,
random_1001,5,4,3,,,
random_1002,5,4,3,,,
random_1003,5,4,3,,,
random_1004,5,4,3,,,
random_1005,5,4,3,,,
random_1006,5,4,3,,,
random_1007,5,4,3,,,
random_1008,5,4,3,,,
random_1009,5,4,3,,,
random_1010,5,4,3,,,
random_1011,5,4,3,,,
random_1012,5,4,3,,,
random_1013,5,4,3,,,
random_1014,5,4,3,,,
random_1015,5,4,3,,,
random_1016,5,4,3,,,
random_1017,5,4,3,,,
random_1018,5,4,3,,,
random_1019,5,4,3,,,
random_1020,5,4,3,,,
random_1021,5,4,3,,,
random_1022,5,4,3,,,
random_1023,5,4,3,,,
random_1024,5,4,3,,,
random_1025,5,4,3,,,
